sl_no,state,start_date,physical_progress,report_month
1201,Maharashtra,"03/2021
06/2022",67.39,FlashReport_July 2026
1202,Maharashtra,"02/2023
09/2024",81.42,FlashReport_July 2026
1203,Maharashtra,"03/2024
05/2025",68.23,FlashReport_July 2026
1204,Maharashtra,"03/2024
05/2025",54.04,FlashReport_July 2026
1205,Maharashtra,"03/2024
04/2025",43.46,FlashReport_July 2026
1206,Maharashtra,"03/2024
05/2025",15.0,FlashReport_July 2026
1207,Maharashtra,"01/2017
08/2017",96.19,FlashReport_July 2026
1208,Maharashtra,"01/2017
08/2017",98.08,FlashReport_July 2026
1209,Maharashtra,"03/2022
01/2023",68.93,FlashReport_July 2026
1210,Maharashtra,"03/2024
01/2025",76.2,FlashReport_July 2026
1211,Maharashtra,"03/2017
06/2017",82.0,FlashReport_July 2026
1212,Maharashtra,"02/2017
06/2017",83.93,FlashReport_July 2026
1213,Maharashtra,"03/2024
04/2025",100.0,FlashReport_July 2026
1214,Maharashtra,"03/2025
01/2026",35.45,FlashReport_July 2026
1215,Maharashtra,"03/2018
06/2018",95.29,FlashReport_July 2026
1216,Maharashtra,"02/2024
12/2024",72.0,FlashReport_July 2026
1217,Maharashtra,"03/2018
06/2018",89.08,FlashReport_July 2026
1218,Maharashtra,"02/2023
11/2023",100.0,FlashReport_July 2026
1219,Maharashtra,"03/2018
01/2022",93.07,FlashReport_July 2026
1220,Maharashtra,"02/2023
07/2024",53.5,FlashReport_July 2026
1221,Maharashtra,"06/2020
02/2022",98.2,FlashReport_July 2026
1222,Maharashtra,"05/2021
11/2022",98.0,FlashReport_July 2026
1223,Maharashtra,"05/2021
11/2022",94.6,FlashReport_July 2026
1224,Maharashtra,"06/2021
11/2022",95.5,FlashReport_July 2026
1225,Maharashtra,"09/2021
01/2023",90.73,FlashReport_July 2026
1226,Maharashtra,"01/2025
06/2025",24.08,FlashReport_July 2026
1227,Maharashtra,"11/2017
02/2019",89.2,FlashReport_July 2026
1228,Maharashtra,"12/2021
01/2023",51.14,FlashReport_July 2026
1229,Maharashtra,"12/2021
12/2022",90.12,FlashReport_July 2026
1230,Maharashtra,"03/2023
07/2023",84.0,FlashReport_July 2026
1231,Maharashtra,"02/2024
10/2024",40.5,FlashReport_July 2026
1232,Maharashtra,"03/2025
06/2025",77.0,FlashReport_July 2026
1233,Maharashtra,"02/2021
11/2021",99.79,FlashReport_July 2026
1234,Maharashtra,"12/2022
03/2023",98.66,FlashReport_July 2026
1235,Maharashtra,"12/2023
10/2024",70.01,FlashReport_July 2026
1236,Maharashtra,"01/2025
07/2025",33.35,FlashReport_July 2026
1237,Maharashtra,"08/2022
11/2023",69.25,FlashReport_July 2026
1238,Maharashtra,"03/2018
03/2019",96.22,FlashReport_July 2026
1239,Maharashtra,"02/2021
01/2022",97.69,FlashReport_July 2026
1240,Maharashtra,"03/2025
06/2025",43.57,FlashReport_July 2026
1241,Maharashtra,"10/2024
04/2025",48.55,FlashReport_July 2026
1242,Maharashtra,"02/2022
05/2023",81.57,FlashReport_July 2026
1243,Maharashtra,"02/2022
05/2023",68.95,FlashReport_July 2026
1244,Maharashtra,"02/2021
10/2021",81.54,FlashReport_July 2026
1245,Maharashtra,"02/2025
07/2025",40.11,FlashReport_July 2026
1246,Maharashtra,"03/2025
01/2026",51.0,FlashReport_July 2026
1247,Maharashtra,"02/2021
03/2022",83.19,FlashReport_July 2026
1248,Maharashtra,"12/2025
04/2026",5.1,FlashReport_July 2026
1249,Maharashtra,"09/2009
10/2010",99.05,FlashReport_July 2026
1250,Maharashtra,"06/2022
11/2022",96.73,FlashReport_July 2026
1251,Maharashtra,"02/2022
11/2022",97.4,FlashReport_July 2026
1252,Maharashtra,"01/2021
09/2021",86.2,FlashReport_July 2026
1253,Maharashtra,"08/2020
03/2022",99.87,FlashReport_July 2026
1254,Maharashtra,"03/2018
01/2019",87.0,FlashReport_July 2026
1255,Maharashtra,"12/2025
04/2026",1.0,FlashReport_July 2026
1256,Maharashtra,"01/2021
09/2021",97.4,FlashReport_July 2026
1257,Maharashtra,"02/2026
06/2026",0.0,FlashReport_July 2026
1258,Maharashtra,"03/2026
06/2026",0.0,FlashReport_July 2026
1259,Maharashtra,"01/2026
06/2026",0.0,FlashReport_July 2026
1260,Manipur,"03/2021
07/2021",94.71,FlashReport_July 2026
1261,Manipur,"09/2020
12/2024",76.63,FlashReport_July 2026
1262,Manipur,"09/2020
10/2020",91.39,FlashReport_July 2026
1263,Manipur,"09/2020
02/2025",48.35,FlashReport_July 2026
1264,Manipur,"03/2020
07/2020",98.12,FlashReport_July 2026
1265,Manipur,"03/2020
07/2020",88.96,FlashReport_July 2026
1266,Manipur,"03/2023
12/2024",28.12,FlashReport_July 2026
1267,Manipur,"03/2023
12/2024",26.22,FlashReport_July 2026
1268,Manipur,"03/2023
05/2025",14.5,FlashReport_July 2026
1269,Manipur,"01/2023
12/2023",92.52,FlashReport_July 2026
1270,Manipur,"12/2021
02/2023",95.2,FlashReport_July 2026
1271,Manipur,"12/2021
11/2022",91.02,FlashReport_July 2026
1272,Manipur,"09/2021
06/2022",86.05,FlashReport_July 2026
1273,Manipur,"03/2021
09/2021",86.33,FlashReport_July 2026
1274,Manipur,"03/2021
03/2025",93.1,FlashReport_July 2026
1275,Manipur,"03/2021
08/2021",85.84,FlashReport_July 2026
1276,Manipur,"06/2020
08/2020",88.2,FlashReport_July 2026
1277,Manipur,"04/2020
07/2020",100.0,FlashReport_July 2026
1278,Manipur,"04/2020
07/2020",100.0,FlashReport_July 2026
1279,Manipur,"06/2020
11/2025",9.17,FlashReport_July 2026
1280,Manipur,"04/2020
08/2025",25.93,FlashReport_July 2026
1281,Manipur,"07/2021
09/2021",95.28,FlashReport_July 2026
1282,Manipur,"03/2021
06/2021",98.5,FlashReport_July 2026
1283,Manipur,"09/2021
11/2021",84.87,FlashReport_July 2026
1284,Manipur,"09/2021
11/2021",86.87,FlashReport_July 2026
1285,Manipur,"03/2023
03/2024",80.04,FlashReport_July 2026
1286,Manipur,"09/2021
07/2023",94.5,FlashReport_July 2026
1287,Manipur,"09/2021
08/2022",97.0,FlashReport_July 2026
1288,Manipur,"02/2021
06/2021",100.0,FlashReport_July 2026
1289,Manipur,"02/2021
06/2021",75.08,FlashReport_July 2026
1290,Meghalaya,"08/2020
02/2022",99.62,FlashReport_July 2026
1291,Meghalaya,"12/2023
05/2025",4.5,FlashReport_July 2026
1292,Meghalaya,"03/2023
09/2025",26.8,FlashReport_July 2026
1293,Meghalaya,"03/2023
03/2025",46.38,FlashReport_July 2026
1294,Meghalaya,"07/2020
05/2024",42.91,FlashReport_July 2026
1295,Meghalaya,"07/2020
04/2024",53.43,FlashReport_July 2026
1296,Meghalaya,"07/2020
02/2024",53.21,FlashReport_July 2026
1297,Meghalaya,"07/2020
10/2023",100.0,FlashReport_July 2026
1298,Meghalaya,"09/2021
05/2022",83.05,FlashReport_July 2026
1299,Meghalaya,"03/2023
09/2024",52.28,FlashReport_July 2026
1300,Meghalaya,"03/2023
09/2024",50.48,FlashReport_July 2026
1301,Meghalaya,"03/2023
09/2024",74.85,FlashReport_July 2026
1302,Mizoram,"12/2021
07/2025",17.86,FlashReport_July 2026
1303,Mizoram,"12/2021
07/2025",17.12,FlashReport_July 2026
1304,Mizoram,"11/2021
07/2025",11.86,FlashReport_July 2026
1305,Mizoram,"12/2021
07/2025",6.72,FlashReport_July 2026
1306,Mizoram,"02/2024
10/2025",18.9,FlashReport_July 2026
1307,Mizoram,"02/2024
11/2025",13.95,FlashReport_July 2026
1308,Mizoram,"01/2024
12/2025",0.0,FlashReport_July 2026
1309,Mizoram,"02/2023
10/2025",15.1,FlashReport_July 2026
1310,Mizoram,"03/2021
06/2021",64.78,FlashReport_July 2026
1311,Mizoram,"06/2021
07/2021",61.34,FlashReport_July 2026
1312,Mizoram,"09/2019
10/2019",95.35,FlashReport_July 2026
1313,Mizoram,"09/2019
10/2019",97.51,FlashReport_July 2026
1314,Mizoram,"09/2019
03/2020",99.82,FlashReport_July 2026
1315,Mizoram,"02/2023
12/2024",4.71,FlashReport_July 2026
1316,Mizoram,"12/2021
11/2023",99.52,FlashReport_July 2026
1317,Mizoram,"10/2025
05/2026",2.0,FlashReport_July 2026
1318,"Multi-States
(Andhra Pradesh,
Karnataka)","12/2020
10/2022",99.2,FlashReport_July 2026
1319,"Multi-States
(Andhra Pradesh,
Odisha)","02/2021
03/2022",99.63,FlashReport_July 2026
1320,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","10/2020
05/2022",99.02,FlashReport_July 2026
1321,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","03/2021
01/2023",98.89,FlashReport_July 2026
1322,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","12/2024
09/2025",15.58,FlashReport_July 2026
1323,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","02/2021
10/2023",99.8,FlashReport_July 2026
1324,"Multi-States
(Andhra Pradesh,
Tamil Nadu)","12/2017
03/2018",100.0,FlashReport_July 2026
1325,"Multi-States
(Andhra Pradesh,
Telangana)","01/2021
09/2022",98.82,FlashReport_July 2026
1326,"Multi-States
(Andhra Pradesh,
Telangana)","03/2023
10/2025",5.8,FlashReport_July 2026
1327,"Multi-States
(Andhra Pradesh,
Telangana)","03/2023
03/2025",25.78,FlashReport_July 2026
1328,"Multi-States
(Andhra Pradesh,
Telangana)","01/2022
01/2023",70.6,FlashReport_July 2026
1329,"Multi-States
(Arunachal
Pradesh, Assam)","03/2023
09/2024",96.7,FlashReport_July 2026
1330,"Multi-States
(Bihar, Jharkhand)","02/2021
12/2024",37.93,FlashReport_July 2026
1331,"Multi-States
(Bihar, Jharkhand)","03/2023
07/2025",28.16,FlashReport_July 2026
1332,"Multi-States
(Bihar, Jharkhand)","03/2023
05/2026",3.94,FlashReport_July 2026
1333,"Multi-States
(Bihar, Jharkhand)","09/2020
03/2022",91.3,FlashReport_July 2026
1334,"Multi-States
(Bihar, Jharkhand)","10/2016
11/2020",87.02,FlashReport_July 2026
1335,"Multi-States
(Bihar, Jharkhand)","12/2017
06/2019",78.0,FlashReport_July 2026
1336,"Multi-States
(Bihar, Jharkhand)","02/2021
08/2022",92.74,FlashReport_July 2026
1337,"Multi-States
(Bihar, Uttar
Pradesh)","02/2009
09/2011",99.92,FlashReport_July 2026
1338,"Multi-States
(Bihar, Uttar
Pradesh)","03/2023
11/2024",47.63,FlashReport_July 2026
1339,"Multi-States
(Bihar, Uttar
Pradesh)","03/2024
08/2025",22.26,FlashReport_July 2026
1340,"Multi-States
(Bihar, Uttar
Pradesh)","10/2022
08/2023",86.11,FlashReport_July 2026
1341,"Multi-States
(Bihar, West
Bengal)","01/2025
12/2025",20.14,FlashReport_July 2026
1342,"Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)","10/2020
03/2022",36.23,FlashReport_July 2026
1343,"Multi-States (Goa,
Karnataka)","01/2022
11/2022",84.7,FlashReport_July 2026
1344,"Multi-States
(Gujarat,
Maharashtra)","12/2019
09/2020",99.7,FlashReport_July 2026
1345,"Multi-States
(Haryana, Punjab)","01/2021
05/2022",98.7,FlashReport_July 2026
1346,"Multi-States
(Haryana, Punjab)","02/2023
12/2023",76.3,FlashReport_July 2026
1347,"Multi-States
(Haryana, Punjab)","03/2022
10/2023",90.01,FlashReport_July 2026
1348,"Multi-States
(Haryana, Punjab)","05/2022
05/2023",81.33,FlashReport_July 2026
1349,"Multi-States
(Haryana,
Rajasthan)","08/2022
12/2022",88.9,FlashReport_July 2026
1350,"Multi-States
(Haryana, Uttar
Pradesh)","03/2024
08/2025",17.16,FlashReport_July 2026
1351,"Multi-States
(Haryana, Uttar
Pradesh)","06/2022
05/2023",82.75,FlashReport_July 2026
1352,"Multi-States
(Haryana, Uttar
Pradesh)","07/2022
06/2023",76.3,FlashReport_July 2026
1353,"Multi-States
(Himachal
Pradesh, Punjab)","03/2023
05/2025",26.43,FlashReport_July 2026
1354,"Multi-States
(Jammu and
Kashmir, Punjab)","10/2021
09/2022",87.3,FlashReport_July 2026
1355,"Multi-States
(Jharkhand, West
Bengal)","08/2010
04/2014",100.0,FlashReport_July 2026
1356,"Multi-States
(Jharkhand, West
Bengal)","03/2023
09/2025",24.76,FlashReport_July 2026
1357,"Multi-States
(Jharkhand, West
Bengal)","03/2018
12/2019",97.65,FlashReport_July 2026
1358,"Multi-States
(Jharkhand, West
Bengal)","02/2025
02/2026",8.65,FlashReport_July 2026
1359,"Multi-States
(Karnataka,
Kerala)","05/2020
11/2021",100.0,FlashReport_July 2026
1360,"Multi-States
(Karnataka,
Maharashtra)","01/2022
10/2022",85.3,FlashReport_July 2026
1361,"Multi-States
(Karnataka,
Maharashtra)","03/2023
10/2024",57.62,FlashReport_July 2026
1362,"Multi-States
(Karnataka, Tamil
Nadu)","03/2022
05/2023",92.95,FlashReport_July 2026
1363,"Multi-States
(Karnataka, Tamil
Nadu)","10/2021
10/2022",78.7,FlashReport_July 2026
1364,"Multi-States
(Karnataka,
Telangana)","03/2022
11/2022",99.51,FlashReport_July 2026
1365,"Multi-States
(Karnataka,
Telangana)","02/2022
01/2023",93.79,FlashReport_July 2026
1366,"Multi-States
(Kerala,
Puducherry)","09/2017
12/2017",100.0,FlashReport_July 2026
1367,"Multi-States
(Madhya Pradesh,
Maharashtra)","12/2022
03/2024",64.0,FlashReport_July 2026
1368,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)","02/2023
03/2024",97.4,FlashReport_July 2026
1369,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)","10/2024
09/2025",49.18,FlashReport_July 2026
1370,"Multi-States
(Maharashtra,
Telangana)","03/2022
03/2024",78.16,FlashReport_July 2026
1371,"Multi-States
(Puducherry, Tamil
Nadu)","03/2018
11/2021",98.32,FlashReport_July 2026
1372,"Multi-States
(Puducherry, Tamil
Nadu)","03/2018
11/2021",98.75,FlashReport_July 2026
1373,"Multi-States
(Puducherry, Tamil
Nadu)","03/2018
10/2020",85.6,FlashReport_July 2026
1374,"Multi-States (Uttar
Pradesh,
Uttarakhand)","04/2022
11/2022",99.29,FlashReport_July 2026
1375,"Multi-States (Uttar
Pradesh,
Uttarakhand)","01/2023
03/2024",44.41,FlashReport_July 2026
1376,"Multi-States (Uttar
Pradesh,
Uttarakhand)","04/2025
10/2025",22.64,FlashReport_July 2026
1377,"Multi-States (Uttar
Pradesh,
Uttarakhand)","02/2023
03/2024",53.84,FlashReport_July 2026
1378,"Multi-States (Uttar
Pradesh,
Uttarakhand)","11/2021
02/2023",92.98,FlashReport_July 2026
1379,"Multi-States (Uttar
Pradesh,
Uttarakhand)","12/2015
01/2018",99.85,FlashReport_July 2026
1380,Nagaland,"06/2020
06/2024",44.46,FlashReport_July 2026
1381,Nagaland,"03/2021
07/2022",100.0,FlashReport_July 2026
1382,Nagaland,"07/2020
10/2020",46.77,FlashReport_July 2026
1383,Nagaland,"07/2020
06/2023",39.54,FlashReport_July 2026
1384,Nagaland,"07/2020
10/2020",69.76,FlashReport_July 2026
1385,Nagaland,"07/2020
11/2023",27.24,FlashReport_July 2026
1386,Nagaland,"03/2020
11/2023",98.39,FlashReport_July 2026
1387,Nagaland,"03/2020
01/2024",43.13,FlashReport_July 2026
1388,Nagaland,"03/2016
09/2023",84.32,FlashReport_July 2026
1389,Nagaland,"12/2022
08/2023",87.0,FlashReport_July 2026
1390,Nagaland,"12/2022
08/2023",85.67,FlashReport_July 2026
1391,Nagaland,"12/2022
08/2023",58.5,FlashReport_July 2026
1392,Nagaland,"02/2021
06/2023",95.62,FlashReport_July 2026
1393,Nagaland,"01/2021
09/2023",96.53,FlashReport_July 2026
1394,Nagaland,"03/2021
09/2023",99.75,FlashReport_July 2026
1395,Nagaland,"03/2018
08/2023",100.0,FlashReport_July 2026
1396,Nagaland,"03/2018
09/2023",79.03,FlashReport_July 2026
1397,Odisha,"03/2023
04/2025",0.0,FlashReport_July 2026
1398,Odisha,"03/2022
02/2024",56.11,FlashReport_July 2026
1399,Odisha,"03/2023
12/2024",38.0,FlashReport_July 2026
1400,Odisha,"02/2022
04/2023",55.0,FlashReport_July 2026
1401,Odisha,"12/2021
05/2023",78.0,FlashReport_July 2026
1402,Odisha,"03/2023
06/2026",0.0,FlashReport_July 2026
1403,Odisha,"01/2022
06/2025",3.0,FlashReport_July 2026
1404,Odisha,"03/2022
06/2023",66.0,FlashReport_July 2026
1405,Odisha,"09/2021
01/2025",25.0,FlashReport_July 2026
1406,Odisha,"02/2023
05/2025",25.0,FlashReport_July 2026
1407,Odisha,"02/2022
05/2023",92.0,FlashReport_July 2026
1408,Odisha,"03/2021
03/2022",70.0,FlashReport_July 2026
1409,Odisha,"11/2021
06/2023",90.0,FlashReport_July 2026
1410,Odisha,"03/2022
02/2024",60.0,FlashReport_July 2026
1411,Odisha,"03/2023
04/2025",15.0,FlashReport_July 2026
1412,Odisha,"03/2022
10/2024",34.0,FlashReport_July 2026
1413,Odisha,"11/2014
03/2019",91.32,FlashReport_July 2026
1414,Odisha,"03/2024
06/2024",54.2,FlashReport_July 2026
1415,Odisha,"09/2023
11/2024",25.04,FlashReport_July 2026
1416,Odisha,"03/2025
05/2025",9.95,FlashReport_July 2026
1417,Odisha,"09/2021
05/2022",97.8,FlashReport_July 2026
1418,Odisha,"08/2021
06/2022",99.6,FlashReport_July 2026
1419,Odisha,"12/2021
10/2022",99.9,FlashReport_July 2026
1420,Odisha,"09/2023
06/2024",100.0,FlashReport_July 2026
1421,Odisha,"12/2024
02/2026",5.4,FlashReport_July 2026
1422,Odisha,"03/2023
12/2023",92.02,FlashReport_July 2026
1423,Odisha,"03/2023
12/2023",98.22,FlashReport_July 2026
1424,Odisha,"03/2023
12/2023",96.75,FlashReport_July 2026
1425,Odisha,"04/2022
08/2022",38.0,FlashReport_July 2026
1426,Odisha,"03/2021
04/2022",99.7,FlashReport_July 2026
1427,Odisha,"09/2016
03/2017",99.98,FlashReport_July 2026
1428,Odisha,"10/2017
01/2018",99.0,FlashReport_July 2026
1429,Odisha,"01/2018
02/2019",99.0,FlashReport_July 2026
1430,Odisha,"01/2018
02/2020",86.0,FlashReport_July 2026
1431,Odisha,"03/2023
11/2024",36.02,FlashReport_July 2026
1432,Odisha,"02/2021
03/2022",99.99,FlashReport_July 2026
1433,Odisha,"10/2017
03/2018",99.66,FlashReport_July 2026
1434,Punjab,"03/2023
05/2025",45.0,FlashReport_July 2026
1435,Punjab,"03/2021
10/2023",83.0,FlashReport_July 2026
1436,Punjab,"12/2020
07/2022",73.35,FlashReport_July 2026
1437,Punjab,"03/2021
02/2025",27.6,FlashReport_July 2026
1438,Punjab,"12/2021
04/2023",34.79,FlashReport_July 2026
1439,Punjab,"11/2024
07/2025",29.01,FlashReport_July 2026
1440,Punjab,"03/2021
01/2023",56.7,FlashReport_July 2026
1441,Punjab,"05/2020
08/2023",99.0,FlashReport_July 2026
1442,Punjab,"03/2021
11/2022",72.41,FlashReport_July 2026
1443,Punjab,"03/2021
06/2024",74.0,FlashReport_July 2026
1444,Punjab,"06/2021
09/2023",81.5,FlashReport_July 2026
1445,Punjab,"11/2024
03/2026",5.79,FlashReport_July 2026
1446,Punjab,"05/2020
12/2022",76.0,FlashReport_July 2026
1447,Punjab,"03/2022
05/2023",98.66,FlashReport_July 2026
1448,Punjab,"07/2021
02/2023",80.25,FlashReport_July 2026
1449,Punjab,"11/2022
03/2025",20.03,FlashReport_July 2026
1450,Punjab,"03/2023
04/2024",67.0,FlashReport_July 2026
1451,Punjab,"12/2020
03/2022",96.0,FlashReport_July 2026
1452,Punjab,"02/2021
08/2022",82.88,FlashReport_July 2026
1453,Punjab,"08/2021
06/2023",68.2,FlashReport_July 2026
1454,Punjab,"10/2021
06/2023",80.9,FlashReport_July 2026
1455,Punjab,"12/2020
06/2022",68.9,FlashReport_July 2026
1456,Punjab,"03/2021
06/2024",66.53,FlashReport_July 2026
1457,Punjab,"07/2021
09/2025",25.55,FlashReport_July 2026
1458,Punjab,"03/2021
11/2022",33.85,FlashReport_July 2026
1459,Punjab,"05/2021
12/2022",15.31,FlashReport_July 2026
1460,Rajasthan,"01/2022
12/2022",98.58,FlashReport_July 2026
1461,Rajasthan,"12/2021
05/2022",92.77,FlashReport_July 2026
1462,Rajasthan,"03/2022
10/2024",72.0,FlashReport_July 2026
1463,Rajasthan,"02/2023
10/2024",63.52,FlashReport_July 2026
1464,Rajasthan,"02/2024
11/2024",23.0,FlashReport_July 2026
1465,Rajasthan,"03/2022
10/2023",50.33,FlashReport_July 2026
1466,Rajasthan,"01/2025
06/2025",56.2,FlashReport_July 2026
1467,Rajasthan,"11/2019
05/2021",95.25,FlashReport_July 2026
1468,Rajasthan,"07/2020
07/2021",98.28,FlashReport_July 2026
1469,Rajasthan,"02/2019
06/2021",100.0,FlashReport_July 2026
1470,Rajasthan,"10/2019
08/2021",100.0,FlashReport_July 2026
1471,Rajasthan,"10/2019
07/2021",99.2,FlashReport_July 2026
1472,Rajasthan,"09/2022
03/2024",37.27,FlashReport_July 2026
1473,Rajasthan,"09/2022
09/2024",42.75,FlashReport_July 2026
1474,Rajasthan,"02/2018
04/2019",100.0,FlashReport_July 2026
1475,Rajasthan,"03/2025
12/2025",21.22,FlashReport_July 2026
1476,Rajasthan,"11/2021
08/2022",100.0,FlashReport_July 2026
1477,Rajasthan,"01/2024
07/2024",89.37,FlashReport_July 2026
1478,Rajasthan,"03/2025
03/2026",17.0,FlashReport_July 2026
1479,Rajasthan,"03/2026
08/2026",0.0,FlashReport_July 2026
1480,Rajasthan,"03/2026
07/2026",0.0,FlashReport_July 2026
1481,Sikkim,"10/2021
05/2022",92.0,FlashReport_July 2026
1482,Sikkim,"03/2018
01/2023",87.03,FlashReport_July 2026
1483,Sikkim,"01/2021
04/2021",100.0,FlashReport_July 2026
1484,Sikkim,"10/2020
05/2021",79.13,FlashReport_July 2026
1485,Sikkim,"01/2021
02/2021",82.64,FlashReport_July 2026
1486,Sikkim,"10/2020
12/2020",64.31,FlashReport_July 2026
1487,Sikkim,"07/2020
10/2020",86.19,FlashReport_July 2026
1488,Sikkim,"07/2020
10/2020",65.15,FlashReport_July 2026
1489,Tamil Nadu,"03/2022
09/2024",94.0,FlashReport_July 2026
1490,Tamil Nadu,"01/2021
07/2022",93.04,FlashReport_July 2026
1491,Tamil Nadu,"12/2020
08/2022",53.56,FlashReport_July 2026
1492,Tamil Nadu,"05/2023
02/2024",38.52,FlashReport_July 2026
1493,Tamil Nadu,"02/2021
07/2022",89.97,FlashReport_July 2026
1494,Tamil Nadu,"08/2018
02/2019",93.55,FlashReport_July 2026
1495,Tamil Nadu,"06/2024
01/2025",38.26,FlashReport_July 2026
1496,Tamil Nadu,"03/2024
03/2025",47.84,FlashReport_July 2026
1497,Tamil Nadu,"12/2018
03/2020",99.42,FlashReport_July 2026
1498,Tamil Nadu,"11/2022
08/2023",81.85,FlashReport_July 2026
1499,Tamil Nadu,"02/2021
01/2023",44.53,FlashReport_July 2026
1500,Tamil Nadu,"03/2022
02/2023",95.95,FlashReport_July 2026
1501,Tamil Nadu,"12/2018
03/2020",98.12,FlashReport_July 2026
1502,Tamil Nadu,"03/2023
11/2023",18.13,FlashReport_July 2026
1503,Tamil Nadu,"03/2023
11/2023",22.8,FlashReport_July 2026
1504,Tamil Nadu,"03/2018
01/2022",99.8,FlashReport_July 2026
1505,Tamil Nadu,"01/2019
12/2020",97.65,FlashReport_July 2026
1506,Tamil Nadu,"01/2019
01/2021",93.6,FlashReport_July 2026
1507,Tamil Nadu,"01/2025
06/2025",37.62,FlashReport_July 2026
1508,Tamil Nadu,"02/2018
04/2019",100.0,FlashReport_July 2026
1509,Tamil Nadu,"03/2023
11/2023",8.58,FlashReport_July 2026
1510,Tamil Nadu,"12/2009
06/2011",99.99,FlashReport_July 2026
1511,Tamil Nadu,"10/2009
09/2010",100.0,FlashReport_July 2026
1512,Tamil Nadu,"02/2019
12/2021",77.57,FlashReport_July 2026
1513,Tamil Nadu,"02/2019
05/2022",58.65,FlashReport_July 2026
1514,Tamil Nadu,"02/2019
12/2023",53.41,FlashReport_July 2026
1515,Tamil Nadu,"03/2018
11/2018",99.75,FlashReport_July 2026
1516,Tamil Nadu,"03/2023
11/2023",17.24,FlashReport_July 2026
1517,Tamil Nadu,"07/2025
05/2026",0.0,FlashReport_July 2026
1518,Tamil Nadu,"03/2024
12/2024",46.31,FlashReport_July 2026
1519,Tamil Nadu,"03/2022
09/2022",97.92,FlashReport_July 2026
1520,Telangana,"01/2018
05/2018",92.62,FlashReport_July 2026
1521,Telangana,"10/2016
03/2017",100.0,FlashReport_July 2026
1522,Telangana,"03/2023
07/2024",45.85,FlashReport_July 2026
1523,Telangana,"03/2021
07/2022",83.47,FlashReport_July 2026
1524,Telangana,"03/2018
07/2018",54.26,FlashReport_July 2026
1525,Telangana,"03/2021
07/2022",91.0,FlashReport_July 2026
1526,Telangana,"02/2018
06/2018",88.22,FlashReport_July 2026
1527,Telangana,"01/2017
05/2017",99.2,FlashReport_July 2026
1528,Telangana,"05/2018
06/2021",92.1,FlashReport_July 2026
1529,Telangana,"03/2018
06/2018",96.0,FlashReport_July 2026
1530,Telangana,"03/2022
02/2024",46.0,FlashReport_July 2026
1531,Telangana,"03/2022
07/2023",90.05,FlashReport_July 2026
1532,Telangana,"03/2022
10/2023",46.63,FlashReport_July 2026
1533,Telangana,"01/2022
05/2026",90.69,FlashReport_July 2026
1534,Telangana,"10/2022
05/2024",79.07,FlashReport_July 2026
1535,Telangana,"10/2022
02/2025",13.33,FlashReport_July 2026
1536,Telangana,"01/2022
12/2022",77.85,FlashReport_July 2026
1537,Telangana,"10/2022
07/2024",68.9,FlashReport_July 2026
1538,Telangana,"10/2022
08/2024",70.6,FlashReport_July 2026
1539,Telangana,"01/2022
12/2022",94.97,FlashReport_July 2026
1540,Telangana,"03/2022
03/2023",98.6,FlashReport_July 2026
1541,Telangana,"01/2022
12/2022",85.0,FlashReport_July 2026
1542,Telangana,"01/2022
01/2023",74.06,FlashReport_July 2026
1543,Telangana,"01/2021
10/2022",97.26,FlashReport_July 2026
1544,Telangana,"03/2022
07/2023",92.4,FlashReport_July 2026
1545,Telangana,"03/2023
10/2025",5.63,FlashReport_July 2026
1546,Telangana,"01/2023
06/2025",9.04,FlashReport_July 2026
1547,Telangana,"03/2023
12/2024",11.28,FlashReport_July 2026
1548,Telangana,"03/2023
06/2025",0.5,FlashReport_July 2026
1549,Telangana,"03/2023
04/2024",77.65,FlashReport_July 2026
1550,Telangana,"03/2023
07/2025",10.11,FlashReport_July 2026
1551,Telangana,"03/2023
03/2025",45.89,FlashReport_July 2026
1552,Telangana,"10/2021
11/2024",24.2,FlashReport_July 2026
1553,Telangana,"01/2021
01/2022",99.98,FlashReport_July 2026
1554,Telangana,"11/2022
05/2026",0.0,FlashReport_July 2026
1555,Telangana,"01/2021
09/2022",98.02,FlashReport_July 2026
1556,Telangana,"11/2013
03/2014",100.0,FlashReport_July 2026
1557,Telangana,"01/2015
02/2015",82.76,FlashReport_July 2026
1558,Telangana,"10/2024
10/2025",55.62,FlashReport_July 2026
1559,Telangana,"01/2025
07/2026",0.0,FlashReport_July 2026
1560,Tripura,"02/2022
01/2023",54.56,FlashReport_July 2026
1561,Tripura,"12/2023
09/2024",48.3,FlashReport_July 2026
1562,Tripura,"01/2024
12/2024",9.5,FlashReport_July 2026
1563,Tripura,"01/2024
09/2024",14.7,FlashReport_July 2026
1564,Tripura,"01/2024
09/2024",60.7,FlashReport_July 2026
1565,Tripura,"01/2024
07/2024",63.15,FlashReport_July 2026
1566,Tripura,"02/2020
09/2024",53.14,FlashReport_July 2026
